PDF 文件名,标题,波段信息,材料,设计目的
2021AFM-郑州大学-超薄碳化钛 （MXene） 薄膜用于红外热伪装.pdf,Ultrathin Titanium Carbide (MXene) Films for High-Temperature Thermal Camouflage,中红外波段，7–14 μm,"Ti3C2Tx,MXene,LiF,HCl,Li,Ti3AlC2,Na,MMT,GO,SiO2",这篇文章展示了一系列超薄Ti3C2Tx MXene薄膜在高温室内/外热伪装方面的卓越性能。这些薄膜厚度低至1μm，具有宽伪装温度范围（-10°C至500°C以上）、大幅降低辐射温度（超500°C的物体降低超300°C）、长期高温或防火稳定性、多功能性（包括伪装焦耳加热能力和高电磁干扰屏蔽效率）等优点。其优异性能归因于低中红外发射率（0.19），优于其他二维纳米材料。研究为高效高温热伪装提供了可行策略，展现了MXene材料在热伪装、红外隐身、反监视和安全保护等方面的巨大潜力。 
2021APPLIEDMATERIALSTODAY中国科技大学红外电致变色材料、器件和应用.pdf,"Infrared electrochromic materials, devices and applications",中红外波段，3-25μm,"Viologen,Quinone,Imide,TPA,PEDOT,PProDOT,PProDOS,Polyselenophene,Benzotriazole,Benzothiadiazole,Benzoselenadiazole,Benzooxadiazole,Pyridinethiadiazole,Quinoxaline,Naphthalene diimide,Diketopyrrolopyrrole,WO3",这篇文章对红外电致变色材料、器件及应用进行了综述。介绍了多种红外电致变色材料，包括有机小分子、三苯胺基聚合物、导电聚合物、金属配合物、金属氧化物、等离子体纳米晶体和新兴材料等，并阐述了它们在不同领域的应用，如智能窗户、光通信、军事伪装和热控制等。还提及了商业化的红外电致变色器件，并对该领域的挑战和未来趋势进行了展望，为红外电致变色的研究提供了全面的参考。 
2021APPLIEDMATERIALSTODAY康涅狄格大学通过机械可调表面发射率实现动态热辐射调制器.pdf,Dynamic thermal radiation modulators via mechanically tunable surface emissivity,否,"MC,PVA,laponite,Eco?ex,Al",这篇文章设计了一种受头足类动物启发的热辐射调制器，通过机械应变调节低发射率薄膜层中微裂纹的开口，实现对高发射率软衬底的可控暴露，进而动态控制表面热辐射。该调制器分为单轴应变（TMSU）和鼓胀应变（TMSB）两种结构，具有易于制造、工作温度低、可调性高、角度独立性、循环稳定性好、响应即时按需、应变灵敏度高、可图案化和多阵列等优点，可用于手指运动传感、信息加密、多路复用显示和热伪装等领域，为下一代热调制设备的创造提供了可能。 
2021IEEE光子学会比尔肯特大学纳米技术研究中心（IPC）窄带至宽带超材料纳米天线发射器热可调谐.pdf,Thermally Tunable from Narrowband to Broadband Metamaterial-Based Nanoantenna Emitter,中红外波段，3-12μm,"Si,Ag,VO2",这篇文章提出了一种基于超材料吸收体和相变材料的混合设计的热可调纳米天线发射器，用于热伪装应用。该设计通过调整光谱发射率/吸收率，在中红外（MIR）区域实现了低可观测性。通过优化结构参数，该发射器能够在不同温度下实现从窄带到宽带的吸收响应调制，使其在热伪装的同时更有效地通过大气吸收窗口进行辐射散热，实现了与热伪装技术兼容的自适应辐射冷却纳米天线。 
2021iscience华中科技大学通过吹制 Janus 橡胶膜，对软系统进行简单、可扩展和自适应的红外反射.pdf,"Facile, scalable, and adaptive infrared re?ection towards soft systems by blowing a Janus rubber ?lm","红外波段，文中未提及具体范围数值

文章介绍了一种基于Janus橡胶膜的可调控红外反射系统，通过拉伸Janus橡胶膜，可实现对红外反射的控制，从而应用于显示、自适应军事伪装、热管理等领域。但未明确指出该系统具体工作在哪个红外波段范围。 ","AMSs,Ca(NO3)2,Porcellanite,Commercial rubber dispersion,Aluminum coated mica microsheets",这篇文章受头足类动物启发，展示了一种基于Janus橡胶薄膜的简便且可扩展的自适应红外反射方法。通过拉伸Janus橡胶薄膜，可改变其红外反射率，实现红外伪装和显示。该方法具有简单的驱动机制、室温工作、可控响应、循环稳定性、图案化和复用性以及易于制造等优点，为未来可控红外反射应用于环境红外伪装和显示开辟了新途径，但目前存在组装设备分辨率较低和泵送系统不成熟的局限。 
2021JMCA-AlCrTaTiZrN高熵陶瓷.pdf,Scalable and highly e?cient high temperature solar absorber coatings based on high entropy alloy nitride AlCrTaTiZrN with di?erent antire?ection layers ?,0.3–2.5μm，2.5–25μm,"AlCrTaTiZrN,SiO2,Si3N4,SS",这篇文章通过选择合适的元素组成，开发了一种基于高熵合金氮化物AlCrTaTiZrN的简单、经济、可扩展且高效的太阳能选择性吸收涂层。该涂层具有出色的光谱选择性（α/ε=92.8%/5.1%或91.6%/5.1%），在800℃退火2小时后反射光谱变化不显著，在650℃退火300小时后仍能保持良好的光学性能，600℃时的高温热发射率可低至15.4%，100个太阳下的光热转换效率高达87.7%（600℃）和84.6%（650℃）。这项研究为太阳能光热利用领域的高熵合金应用提供了新的思路。 
2021JMCA-HfNbTaTiZr高熵陶瓷.pdf,Toward high-temperature thermal tolerance in solar selective absorber coatings: choosing high entropy ceramic HfNbTaTiZrN ?,否,"HfNbTaTiZrN,SiO2","这篇文章通过磁控溅射法制备了一种基于高熵合金氮化物（HfNbTaTiZrN）的太阳能选择性吸收涂层（SSAC），实现了高太阳能吸收率（82℃时α=96%）和低发射率（82℃时ε=8.2%），以及全向吸收。通过计算机模拟和实验相结合的方法，研究了该涂层的光学性能、热稳定性和光热转换效率。结果表明，该涂层在550℃时的光热转换效率高达90.1%，在600℃退火168小时后，效率下降仍小于5%。此外，该涂层在不同基底上具有良好的通用性和可扩展性，有望在太阳能热利用领域得到广泛应用。
 "
2021Laser&Photonics Reviews-浙大李强-砂纸朗伯特表面红外隐身.pdf,Infrared Camouflage Utilizing Ultrathin Flexible Large-Scale High-Temperature-Tolerant Lambertian Surfaces,中红外波段，3–25μm,"Al,PI",这篇文章提出了一种基于朗伯表面的红外伪装装置，该装置超薄（约50μm）、灵活、可扩展且耐高温（290°C），同时具备低发射率（≈0.1）、低镜面反射率（≈0.05）的特点。实验结果表明，该朗伯表面在伪装目标（65°C）时，相较于传统低发射率光滑表面，可将目标-背景对比度峰值降低68.4%（室内）和76.0%（室外），其计算探测范围比低发射率光滑表面和黑体小60%。这项研究为红外伪装技术提供了一种新的设计范例。 
2021MaterialsTodayPhysics亚利桑那大学用于热隐身的纳米多孔薄膜的逆热设计.pdf,Inverse thermal design of nanoporous thin ?lms for thermal cloaking,否,Si,"这篇文章提出了一种基于纳米多孔薄膜的二维热隐身逆热设计方法，通过周期性方形纳米孔和矩形纳米槽实现了薄膜热导率和热各向异性的局部调控，能够有效实现二维热隐身和热伪装。该方法避免了制造具有精确热导率的纳米复合材料的挑战，为二维热隐身及热伪装、热集中和热反转等器件的制造提供了新方向。
1. **设计方法**：基于经典声子尺寸效应，通过解析模型估计多孔图案，利用声子蒙特卡罗（MC）模拟优化几何形状，以实现目标热导率。
2. **实现效果**：
    - 用方形纳米孔修饰薄膜实现热隐身，模拟结果与理论设计吻合良好，最大误差5.38%。
    - 纳米槽图案用于隐身壳区域可实现高度各向异性热导率，满足特定热导率分布模型。
    - 热隐身扩展至热伪装，通过添加特定区域实现了热伪装效果，与参考均匀多孔膜相比，温度分布差异<9.1%。 "
2021NanoEnergy武汉大学防潮光工织物，用于可见光和自适应红外双伪装.pdf,Moisture assisted photo-engineered textiles for visible and self-adaptive infrared dual camouflage,大气透明窗口波段 7.5–14μm,"PE,Au,LiBr,TiAlN",这篇文章提出了一种用于可见光和自适应红外双重伪装的智能纺织品。该纺织品通过湿度辅助光工程，使内部水分含量随环境温度变化自适应改变，从而智能调节热发射率，在25.8℃至67.4℃范围内，热发射率能在0.8至0.27间变化。同时，利用干涉滤光片实现可见光颜色的调节。这种纺织品具备低成本、生物相容性好、灵活、轻便和便捷等特点，为可见和自适应红外双重伪装提供了新方案。 
2021Nanophotonics-A mixture-density-based tandem optimization network for on-demand inverse design of thin-film high reflectors.pdf,A mixture-density-based tandem optimization network for on-demand inverse design of thin- film high re flectors,否,"MgF2,Ta2O5,glass,air",这篇文章提出了一种基于混合密度网络（MDN）和全连接（FC）网络的串联优化模型，用于薄膜高反射镜的按需逆设计。该模型结合了深度学习的高效性和优化技术的高性能，能够快速准确地检索和设计具有复杂光学响应的薄膜结构。实验结果表明，该模型在随机结构和经典高反射镜的逆设计中表现出色，能够生成具有扩展高反射率区域的改进设计。这项研究为光子学逆设计提供了一种创新的解决方案，有望在实际应用中得到广泛应用。 
2021nature nano-南大朱嘉-选择性辐射制冷.pdf,Scalable and hierarchically designed polymer film as a selective thermal emitter for high-performance all-day radiative cooling,大气透明窗口波段 8–13 μm ,PEO,这篇文章提出了一种基于聚合物纳米纤维的高性能全天辐射冷却材料，通过分子和纳米尺度的分层设计，在大气透明窗口实现了强选择性发射率。该材料通过卷对卷静电纺丝工艺制备，具有可扩展性。实验和理论计算均证实，与非选择性热发射体相比，该材料具有卓越的冷却性能，为缓解全球变暖及调节类地行星温度提供了可行途径。 
2021NC-浙大仇旻_李强-多频谱兼容+辐射制冷.pdf,"Multispectral camou ?age for infrared, visible, lasers and microwave with radiative cooling",可见光波段，380-780nm；中红外波段，3–5μm，8–14μm；激光波段，1.55μm，10.6μm；微波波段，8–12GHz,"ZnS,Ge,Cu,ITO",这篇文章展示了一种用于红外、可见光、激光和微波波段的多光谱伪装技术，并具备高效的辐射冷却能力。该技术通过多层结构实现了不同波段的伪装需求，在中红外大气窗口低发射率以实现红外伪装，在非大气窗口高发射率以实现辐射冷却，同时在可见光范围可匹配背景颜色，在激光和微波波段有高吸收率。与传统宽带低发射率材料相比，该技术展现出更好的红外伪装性能和散热能力，为多光谱兼容伪装和防伪提供了创新解决方案。 
2021NF华中科技大学——通过光谱转移和单向光提取光子学来增加温室气体的产量.pdf,Increasing greenhouse production by spectral-shifting and unidirectional light-extracting photonics,可见光至近红外波段，400-700nm,"PMMA,LF305",这篇文章提出了一种通过光谱转换和单向光提取光子学来提高光合作用的方法，设计了一种可扩展制造的光谱转换微光子薄膜作为温室覆盖物，以增强光合作用。通过打破光的固有传播对称性，光子微结构可以提取89%的内部产生的光，并将大部分光单向传输到光合生物。这种微光子薄膜在室内人工照明和室外自然阳光的温室环境中，使生菜产量提高了20%以上，为在可控环境中提高作物生产效率提供了可能。 
2021OM-400摄氏度Ge-ZnS多层膜.pdf,Temperature characteristics of Ge/ZnS one-dimension photonic crystal for infrared camouflage,大气透明窗口波段 3–5 μm ， 8–14 μm,"Ge,ZnS,Si,quartz glass",这篇文章研究了用于红外伪装的Ge/ZnS一维光子晶体薄膜的温度特性。通过电子束蒸发制备的该薄膜在高达400°C的温度下具有红外伪装能力，400°C时3-5μm和8-14μm波段的红外发射率分别为0.091和0.128。热成像表明其能有效降低热辐射，在变温环境下展现了良好的红外伪装性能，为红外伪装提供了新的解决方案。 
2021OME-平面膜的逆向设计.pdf,Inverse design of ultra-narrowband selective thermal emitters designed by artificial neural networks,中红外波段，2-8μm,"Ag,Si,Ge,SiO2,Si3N4",这篇文章通过人工神经网络（ANN）对超窄带选择性热发射体进行逆向设计，在2-8μm波长范围内实现了目标发射光谱的设计。训练后的网络能以小于0.006的平均均方误差设计出超窄带热发射体，Q因子高达109.2。通过有限差分时域（FDTD）方法对设计的发射体进行全波模拟，分析其物理机制和角度响应，验证了其在热光伏、红外传感与成像、红外加热等实际应用中的可行性。 
2021OpticalMaterials大连理工大学用于热隐身的纳米多孔薄膜的逆热设计.pdf,Temperature characteristics of Ge/ZnS one-dimension photonic crystal for infrared camouflage,大气透明窗口波段 3–5 μm ， 8–14 μm,"Ge,ZnS,Si,石英玻璃",这篇文章研究了用于红外伪装的Ge/ZnS一维光子晶体薄膜的温度特性，该薄膜在室温下具有低红外发射率。制备的薄膜在高达400°C的温度变化范围内展现出红外伪装能力，400°C时3-5μm和8-14μm波段的红外发射率分别为0.091和0.128，热成像也表明其能有效降低热辐射。此项研究展示了Ge/ZnS一维光子晶体在变温环境下出色的红外伪装性能。 
2021Optics Communications-东北大学-基于 Al-SiO2 纳米颗粒复合薄膜的红外-可见兼容隐形.pdf,Infrared–visible compatible stealth based on Al-SiO2nanoparticle composite film,红外波段，3-14μm；可见光波段，300-800nm,"Al,SiO2",这篇文章通过磁控共溅射法制备了不同SiO2体积含量的Al-SiO2纳米颗粒复合薄膜，研究其结构、形貌及红外与可见光隐身性能。结果表明，当SiO2体积含量为6.9%时，薄膜红外发射率低至0.12，可见光吸收率高达0.67，实现了红外与可见光隐身兼容性，为红外隐身材料研究提供了新方案。 
2021OpticsCommunications华中科技大学基于Ge2Sb2Te5准光子晶体的自适应红外伪装.pdf,Adaptive infrared camouflage based on quasi-photonic crystal with Ge2Sb2Te5,中波红外波段，3–5 μm；长波红外波段，8–14 μm,"Ge2Sb2Te5,ZnS,CaF2",这篇文章设计了一种基于一维准光子晶体（quasi-PC）结构与相变材料Ge2Sb2Te5（GST）的新型自适应红外伪装薄膜。通过优化顶层结构，该薄膜在中波红外（MWIR）和长波红外（LWIR）波段均实现了低发射率，总厚度更薄，且有效降低了损耗性cGST对发射率的不利影响。此外，GST层因其随温度变化的折射率在发射率调制中发挥了重要作用。该薄膜在高温下呈现低发射率，MWIR和LWIR波段的发射率分别为0.155和0.098；低温下则呈现高发射率，MWIR和LWIR波段的发射率分别为0.357和0.428。其最大发射率调制范围在MWIR和LWIR波段分别达到0.202和0.330，展现出优异的自适应红外伪装性能，特别是对于物体温度可变的红外伪装。 
2021OpticsLetters比尔肯特大学使用动态可调超表面的自适应可见光和短波红外伪装.pdf,Adaptive visible and short-wave infrared camouflage using a dynamically tunable metasurface,可见光至短波红外波段，350-1700nm,"Ag,Sb2S3,ITO",这篇文章提出了一种基于硫化锑的动态可调超表面，可在可见光和短波红外（SWIR）范围内提供自适应伪装。该超表面由氧化铟锡（ITO）光栅和金属-绝缘体-金属（MIM）纳米腔组成，通过改变材料的相态来调节光学响应。在非晶态下，该设计作为一个彩色透射窗口，而在结晶相中，它转变为一个反射镜。同时，该腔作为ITO纳米天线的热可调宿主，提供可调谐的SWIR吸收，以覆盖两个透射区域。理论计算表明，该超表面在可见光和SWIR范围内都具有良好的伪装效果。 
2021Photonics Research-On-demand design of spectrally sensitive__multiband absorbers using an artificial__neural network.pdf,On-demand design of spectrally sensitive multiband absorbers using an artificial neural network,可见光至近红外波段，400-700nm,"Al,SiO2",这篇文章提出了一种基于深度学习的方法来设计光谱敏感的多波段吸收器，通过人工神经网络（ANN）设计了一种由铝和二氧化硅组成的五层金属-绝缘体-金属光栅结构。该方法在设计时额外输入共振波长的光谱信息，实现了高鲁棒性和准确性的多波段吸收器设计。通过分析共振波长逐渐变化时的设计输出结果，发现训练后的ANN可以通过分析数据学习物理知识。此外，文章还提出了一种通过观察训练后的网络来修剪ANN的系统方法，该方法可以显著降低网络缩减过程中的计算成本，并可扩展到其他使用ANN的研究领域。 
2021PR-Accurate inverse design of Fabry–Perot-cavity-based color filters far beyond sRGB via a bidirectional artificial neural network.pdf,Accurate inverse design of Fabry–Perot-cavity-based color filters far beyond sRGB via a bidirectional artificial neural network,否,"Ag,SiO2","这篇文章提出了一种基于双向人工神经网络的法布里-珀罗（F-P）腔结构色滤光片的精确逆设计方法。该方法通过在均匀的CIE 1976-Lab颜色空间中定义损失函数，实现了超215% sRGB色域覆盖，平均色差ΔE2000低于1.2，设计效率比进化算法提高超100,000倍。此研究为纳米结构色滤光片的设计提供了新的标准流程，推动了深度学习技术在该领域的应用。 "
"2021Proceedings Volume 11865, Target and Background Signatures VII自适应伪装的光电方法.pdf",Opto -Electronic Methods for Adaptive Camouflage,可见光波段，380-780nm,"RGB,LED,OLED,e -ink,Arduino microcontroller board,PCB,LMK 98 -4 imaging photometer,colorimeter,Labsoft software,MODTRAN",这篇文章提出了一种用于士兵的自适应伪装光电方法，评估了LED、OLED和电子纸三种光电设备在可见光光谱范围内的光学性能，发现LED在亮度、颜色空间和环境适应性方面表现最佳。通过将LED矩阵集成到带有迷彩图案的纺织品中，该技术能够在不同光照条件下适应大多数背景场景的强度和颜色要求。文章还讨论了近红外光谱范围内的光学要求和NIR二极管在服装中的应用，认为使用NIR-LEDs作为适应机制是可能的，但目前所需的密度过高，功耗也较大。这项研究为自适应伪装提供了一种创新的解决方案。 
2021ResultinPhysics中国科学院基于可调谐SiO 2-VO 2-MoS 2多层超材料的高效宽带近红外吸收器.pdf,High efficiency broadband near-infrared absorbers based on tunable SiO2-VO 2-MoS 2 multilayer metamaterials,可见光至近红外波段，800-2350nm,"Al,SiO2,VO2,MoS2",这篇文章提出了一种基于可调谐\(SiO_2-VO_2-MoS_2\)多层超材料结构的近红外光主动可调宽带光吸收器。该吸收器在\(75^{\circ}C\)时平均吸光度为\(86.5\%\)，波长范围为\(800 - 2350nm\)；在\(25^{\circ}C\)时平均吸光度为\(96.6\%\)，波长范围为\(800 - 1160nm\)，且在\(1489nm\)附近有窄带吸收峰。这种主动可调的多层超材料结构具有热调谐灵活、可扩展配置的优点，为吸收器提供了新的自由度，在智能温控玻璃和智能太阳能吸收板等应用中展现出卓越的发展前景。 
2021ResultsinPhysics集美大学基于VO2的热可调发射器及中红外大气窗口开关初步设计.pdf,VO2-based thermally tunable emitter and preliminary design of switching for mid-infrared atmospheric windows,大气透明窗口波段 3.5–5 μm ， 8–14 μm,"Al,VO2,Si",这篇文章提出了一种基于VO2的热可调超材料发射器，可作为中红外大气窗口（3.5-5和8-14μm）的内部和外部发射开关。该发射器具有多层金属-介质-金属微金字塔结构，通过独立磁极化子、表面等离激元极化子的共振以及VO2的热相变特性，实现了宽带发射和热可调性。在低于相变温度时结构有加热效果，高于相变温度时有冷却效果，展现了其在智能温度控制系统中的应用潜力。 
2021science-加州洛杉矶Aaswath P. Raman-多层氧化物ENZ膜的定向辐射.pdf,Broadband directional control of thermal emission,长波红外波段，7.7-11.5μm和10.0-14.3μm,"SiO2,SiO,Al2O3,TaO5,TiO2,MgO",这篇文章介绍并实验实现了梯度近零介电常数（ENZ）材料结构，可通过支持在宽频带上以固定角度耦合到自由空间的泄漏电磁模式，实现热发射的广谱方向控制。展示了由多种半导体氧化物组成的两种发射器结构，在特定角度范围内具有高发射率，在其他角度发射率显著下降，验证了其宽带热定向发射能力，为热伪装、太阳能加热、辐射冷却和废热回收等应用中的辐射传热开辟了新途径。 
2021SMALL哈尔滨工业大学用于动态热辐射调节的智能材料.pdf,Smart Materials for Dynamic Thermal Radiation Regulation,中红外波段，2.5-25μm,"VO2,Ge2Sb2Te5,LaMnO3,WO3,TiO2,V2O5,NiO,Li4Ti5O12,SmNiO3,PANI,C",这篇文章综述了智能材料在动态热辐射调节方面的研究进展，涵盖热致变色、电致变色、机械和湿度响应材料。介绍了各类材料的调节机制、结构及应用，强调其在热管理、红外成像等领域的潜力，同时探讨了面临的挑战及未来研究方向，为该领域提供了系统视角，有望推动热调节技术发展。 
2021Solar energy-Optimization configuration of selective solar absorber using multi-island_genetic algorithm.pdf,Optimization configuration of selective solar absorber using multi-island genetic algorithm,紫外线至近红外波段，300-2500nm；中红外波段，2500-25000nm,"SiO2,W,Al2O3",这篇文章提出了一种基于多岛遗传算法（MIGA）的通用选择性太阳能吸收器优化配置方法。该吸收器在考虑20%制造不确定性的情况下，太阳能吸收率大于0.932的概率为96%，中红外发射率低于0.058，具有偏振独立性和角度不敏感性。通过MIGA优化，获得了一组最佳几何参数，其混合共振模式实现了高吸收性能。研究证明了MIGA在热和能源应用的微纳结构优化中是一种有效且强大的工具。 
2021合肥工业大学NANOMaterial基于GST等离子体超材料的可调热伪装.pdf,Tunable Thermal Camou?age Based on GST Plasmonic Metamaterial,大气透明窗口波段 3–5 μm ，8–14 μm,"Ge2Sb2Te5,Au",这篇文章提出了一种基于相变材料GST的MIM等离子体超材料可调热发射器，实现了3-14μm波段热辐射的可调控制和热伪装。该发射器在6.3μm波长处具有近单位发射率，可增加辐射散热并保持系统热稳定性。在黑体环境中，该发射器在中红外和长红外区域的信号降低率分别大于80%。此外，文章还研究了热伪装与GST结晶分数、入射角和偏振角的关系，结果表明该热发射器能够在不同背景温度和环境背景下连续实现热伪装。 
2021国际传热与传质华中科技大学用于自适应热隐身的旋转超器件逆设计.pdf,Inverse design of rotating metadevice for adaptive thermal cloaking,否,无,这篇文章提出了一种基于旋转元器件的自适应热隐身技术，通过推导旋转物体的有效热导率，设计了一种由三层旋转层组成的自适应热隐身器件。该器件能够在背景变化时，通过调整角速度来恢复隐身效果，而无需改变结构或组成材料。通过有限元模拟和分析，研究了各角速度对有效热导率的影响、有效热导率的上下限以及反向旋转的影响。这项研究为热隐身及其他热功能应用提供了一种创新的解决方案。 
2021国陶-空军工程大学-高温雷达吸收.pdf,Thermally stable ultra-thin and refractory microwave absorbing coating,X波段，8.2–12.4 GHz,"TiB2,Al2O3,XRD,SEM",这篇文章设计并实验展示了一种由二硼化钛（TiB2）和氧化铝（Al2O3）组成的超薄高温电磁波吸收涂层，该涂层在宽温度范围内具有优异的吸收性能。通过大气等离子喷涂（APS）技术制备涂层，研究了不同温度下TiB2/Al2O3涂层的介电和吸波性能，并通过模拟和实验选择了最佳成分比。结果表明，当TiB2含量为30%时，涂层在800℃下厚度仅为1.4mm时，反射损耗（RL）低于-5dB的带宽几乎覆盖了整个X波段，展现出良好的高温吸波性能和广阔的应用前景。 
2021复合材料科学与技术清华具有热适应性和机械柔韧性的红外隐形纳米纤维复合材料.pdf,Infrared stealth nanofibrous composites with thermal adaptability and mechanical flexibility,中红外波段，2–22μm,"PAN,ATO,VO2,DMF,SnCl4?5H2O,SbCl3",这篇文章通过静电纺丝和烧结制备了ATO/PAN、ATO/PAN-20VO2、ATO/PAN-40VO2和ATO/PAN-60VO2纤维膜。研究发现，随着温度升高，ATO/PAN膜的红外发射率持续下降，而含VO2的膜在68℃左右有突变。ATO/PAN-60VO2膜的红外发射率从室温的0.85有效降低到90℃时的0.51。红外图像进一步验证了纤维膜红外隐身性能随温度的变化。ATO和VO2都能有效降低红外发射率，前者与价电子电离度增加有关，后者因68℃左右的相变。在力学性能方面，固定ATO含量时，VO2增加会导致纤维缺陷增多，降低断裂强度和延展性。 
2021定量光谱学与辐射转移杂志比尔肯特大学出色的适应性中波红外热发射，适用于覆盖有VO2薄膜的普通物体.pdf,Exceptional adaptable MWIR thermal emission for ordinary objects covered with thin VO2 film,中波红外波段，3-5μm,"VO2,Ar,Au,InSb,HgCdTe, sapphire",这篇文章通过热成像测量和理论方法，研究了覆盖有二氧化钒（VO2）薄膜的普通物体在中波红外（MWIR）波段的热辐射特性。实验结果表明，VO2薄膜可以改变物体的热辐射特性，实现热伪装和防伪等功能。通过设计多层结构，该技术实现了可见光颜色和红外发射率的独立调控，能够在复杂环境中动态适应背景，同时具备高达90%的红外发射率调节范围。这项研究为多光谱兼容伪装和防伪提供了一种创新的解决方案。 
2021巴西帕拉巴大学目标和背景签名会议 VII SPIE安全+防御会议的一部分士兵自适应多光谱迷彩的原型.pdf,"Prototype of adaptive, multispectral camouflage for the soldier",可见光至热红外波段，400nm-14μm,"PCMs,LEDs",这篇文章介绍了欧盟资助项目“士兵自适应伪装”（ACAMSII）中的士兵自适应多光谱伪装原型。该项目旨在开发一种能应对从可见光到热成像和雷达等所有相关传感器威胁的未来士兵系统。通过考虑场景、士兵特征、设计、人体工程学、重量、功耗、可用性和操作功能要求等信息，设计了两种架构：基于热致变色颜料的架构和基于发光二极管（LED）技术的架构。基于热致变色颜料的架构由无形状的披风和平裤组成，能随温度变化可逆地改变颜色，在林地和城市干旱场景中无需电源即可实现伪装；基于LED的架构由覆盖LED的无形状披风组成，可不断改变图案以干扰敌人对士兵形状的观察。通过原型设计、开发以及葡萄牙军事用户的反馈，对两种架构进行了多次改进，以实现最终的自适应伪装解决方案。 
2021应用表面科学首尔大学通过梯度W掺杂增强VO2薄膜的被动热隐身性能.pdf,Enhanced passive thermal stealth properties of VO2 thin films via gradient W doping,红外波段，7.5–14μm,"VO2,W,SiO2,quartz,mica",这篇文章通过制备W掺杂的VO2薄膜，研究其红外发射特性，实现了增强的被动热隐身效果。W-VO2薄膜在较宽温度范围内具有渐变的金属-绝缘体转变特性，能自适应调节红外发射率，相比纯VO2薄膜，其热隐身效果显著提升，为热隐身应用提供了低成本、低能耗的解决方案，有望应用于军事隐身装备和被动智能窗设备等领域。 
2021无机材料学报哈尔滨工业大学无机电致变色材料的反射性能.pdf,无机电致变色材料反射特性研究进展,可见光至近红外波段，400-2500nm；中远红外波段，2-50μm,"V2O5,WO3,NiO,ITO,Ta2O5,Li,Zn-SVO,Au,Ag,SnO2,PANI,PEDOT,ZrO2,Al,LiCoO2,LiF,Li3N,Si,PI,NiV?OyHz,LTO",这篇文章从无机电致变色材料的反射特性出发，详细介绍了其在可见-近红外到中远红外波段的反射光谱调控方法和原理，综述了最新研究进展。在可见波段，反射特性调控主要通过制备五氧化二钒及其掺杂化合物、一维光子晶体微结构、法布里-珀罗纳米谐振腔结构和局域表面等离子共振等方式实现。在红外波段，主要利用氧化钨等材料的分子振动吸收和德鲁德自由电子气体理论等理论设计制备红外反射型电致变色器件。文章指出，目前对无机变色材料的反射特性研究仍处于基本的原理探索和原型器件的研发上，增加无机材料颜色的丰富度和器件的优化整合是未来无机反射型电致变色材料与器件的发展方向。 
2021物理学报比尔肯特大学基于相变材料耦合介电纳米天线的中红外自适应热伪装.pdf,Mid-infrared adaptive thermal camouflage using a phase-change material coupled dielectric nanoantenna,中红外波段，3-12μm,"Ag,Si,VO2",这篇文章设计了一种基于相变材料与电介质的超材料中红外自适应热伪装纳米天线，通过在光栅中嵌入超薄VO2中间层实现结构的自适应特性。利用时域有限差分法计算结构的光谱响应，并通过功率计算证明其在不同中红外区域的隐身性。该设计能在室温到90°C范围内，通过调整VO2层位置，使纳米天线从窄带吸收器转变为宽带吸收器，与大气吸收窗口完美匹配，实现自适应辐射冷却，为热伪装技术提供了一种有效的解决方案。 
2021物理学报电致红外发射率动态调控器件研究进展.pdf,电致红外发射率动态调控器件研究进展,中远红外波段，3-25μm,"WO3,Li4Ti5O12,VO2,PANI,PT",这篇文章概述了基于金属氧化物、导电聚合物、石墨烯、金属等材料的电致红外发射率动态调控器件的工作原理、研究进展，并分析了其发展趋势。该类器件在自适应红外伪装、航天器智能热控等领域具有重要应用价值，未来将在快响应、多循环的基础上，逐渐向柔性化、大面积、宽温域、多波段的方向发展，以保证器件在复杂环境下的使用效果及可靠性。 
2021美利坚合众国国家科学院院刊上海交通大学光驱动的动态表面褶皱，实现自适应可见伪装.pdf,Light-driven dynamic surface wrinkles for adaptive visible camouflage,可见光波段，400-760nm,"PAN,pigment-PDMS,CNT,SuO,PhG,Fe2O3,PIB","这篇文章提出了一种基于光驱动动态表面皱纹的自适应可见光伪装策略，通过双层系统实现了多波长光驱动的动态表面皱纹，能够调节光的散射和薄膜干涉颜色的可见性，从而实现物体在暴露和伪装状态之间的切换。该系统具有简单易配置、易于操作、多功能和原位动态特性等优点，为自适应伪装提供了一种创新的解决方案。

1. **目的**：提出基于光驱动动态表面皱纹的自适应可见光伪装策略，实现物体在不同状态间切换，达到自适应伪装目的。
2. **效果**：通过双层系统实现多波长光驱动动态表面皱纹，能调控光散射与干涉颜色可见性，实现暴露与伪装状态切换。系统简单易操作，具备原位动态特性，无需外部传感器和额外刺激，在自然条件下也能实现良好伪装效果。
3. **意义**：为自适应伪装提供创新方案，具有低成本、易配置、易操作等优势，在智能显示、信息存储和防伪等领域有潜在应用价值。 "
